id,authorId,content,dwellTimeThreshold,createdAt,parentId,isReply
9ee5bc10-3e05-496d-8247-f41aac10064f,787fb573-c6a1-4cdb-9292-36048468e98d,Nội dung tổng hợp của bài post số 0. Bàn về học machine learning.,4430,2025-09-23T01:10:17.438068,3b676b75-1a64-4af4-85aa-e0f5034d0119,True
86ab33b7-a7b9-40be-9705-83465d6eeb12,2f4c986d-4c5e-49b3-98c9-6dc13750d074,Nội dung tổng hợp của bài post số 1. Bàn về crypto hôm nay.,3431,2025-06-23T19:38:29.438283,,False
5818f1f3-9640-4288-a212-2d0570d0f2f7,1259e092-d1d8-4cde-9b65-6cbd00737033,Nội dung tổng hợp của bài post số 2. Bàn về đánh giá gpt-4.,6804,2025-01-27T02:18:25.438337,,False
b08f0b1e-ed6c-4681-b2e1-4b6d5bede5bf,816604b7-3da2-4f3f-89f3-642f6fd28699,Nội dung tổng hợp của bài post số 3. Bàn về du lịch đà lạt.,5952,2025-03-27T23:40:54.438360,,False
b016e214-14db-4a2e-b32d-82b53b497eb9,8155bfd9-99a7-4b8d-abb6-5f228beb9052,Nội dung tổng hợp của bài post số 4. Bàn về so sánh s23 ultra.,2484,2025-10-17T14:53:18.438369,1c5315a0-336f-417c-a0fa-a67cbbc58b4b,True
3dce4c7f-ce19-4cca-95a3-1acead967705,b55904ea-9e7f-4dcd-9606-6bcb4835cd66,Nội dung tổng hợp của bài post số 5. Bàn về du lịch đà lạt.,5599,2025-01-02T18:18:47.438376,,False
2fcd03e9-8128-4fb8-92a2-bffe00cc6002,2d6e00d9-7d2f-4cf4-8888-8ca80909e9fe,Nội dung tổng hợp của bài post số 6. Bàn về chăm sóc da.,5816,2025-07-22T18:52:48.438383,,False
debaa314-45f1-4889-826e-e22c4061a633,34eab7bd-335c-4c5a-b40b-b5e42f41b52f,Nội dung tổng hợp của bài post số 7. Bàn về đánh giá gpt-4.,6460,2025-03-08T12:00:08.438390,0b5909f1-694b-48d8-88fa-45e10a12f111,True
8153a44c-8364-4e57-b51f-1b2b0a6d5730,6ee9e614-a887-418f-8e98-0f1f1ce8a22d,Nội dung tổng hợp của bài post số 8. Bàn về tin tức a.i.,4093,2025-05-23T20:57:55.438396,,False
6c3286ae-d115-4c0a-9737-562b4a44178a,3593cc3f-1f87-47f6-abcf-cf4260ccc058,Nội dung tổng hợp của bài post số 9. Bàn về lập trình nestjs.,5780,2025-09-01T15:19:20.438402,,False
ee68f38a-4f53-4ea1-86c0-3e051d486ea7,2454a8e8-3f0f-42c3-a24a-50c2cd7463ce,Nội dung tổng hợp của bài post số 10. Bàn về crypto hôm nay.,7540,2025-08-26T07:20:49.438409,,False
b0dba9f7-dcb2-4dfe-bad2-9cb91fcb68b8,0048185e-8b42-460e-9ad1-5c533e021e9d,Nội dung tổng hợp của bài post số 11. Bàn về so sánh s23 ultra.,4254,2025-06-28T19:16:58.438415,,False
56e9d1c8-db47-4f13-b67e-34c764f5aa69,13d93826-07f1-4a03-8a56-ff6b5334fcdc,Nội dung tổng hợp của bài post số 12. Bàn về tin tức a.i.,7092,2025-02-05T10:26:23.438421,,False
18eb3de4-bfe5-46d2-979f-12a3c8ca1f29,90522e02-0bfb-4bcb-b184-d3f1af73d6d6,Nội dung tổng hợp của bài post số 13. Bàn về du lịch đà lạt.,4451,2025-03-26T01:15:30.438427,,False
724c2f8b-fa72-4574-8c08-bc099896e0ba,4f3574f9-7b3a-4c7b-908b-e589daec7467,Nội dung tổng hợp của bài post số 14. Bàn về tin tức a.i.,2286,2025-11-07T02:24:33.438434,,False
4ccc968e-1948-429b-bda5-dfb458b182ae,c341010a-8967-4925-8f74-d5a1c3e3f50d,Nội dung tổng hợp của bài post số 15. Bàn về hướng dẫn react.,7912,2025-04-23T10:32:01.438440,,False
